timestamp=18011012699995, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011012720885, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011013596143, VA=0000800100026000-0000800100026008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037ef930
timestamp=18011023765489, VA=0000800000102000-0000800000106000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036c5be0
timestamp=18011023831313, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011023867411, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011023908138, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011023930690, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011024704037, VA=00008001001f4000-00008001001f4008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310390f380
timestamp=18011036223576, VA=0000800000082000-000080000008a000, binding_type=unbind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18011036299259, VA=000080000007e000-0000800000082000, binding_type=unbind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18011036405940, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a32b0
timestamp=18011036437128, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803840
timestamp=18011036490880, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011036520435, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x60310391f460
timestamp=18011037680390, VA=00008001001f5000-00008001001f5008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310375bb50
timestamp=18011047648707, VA=000080010001b000-000080010001b008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103913cc0
timestamp=18011047774594, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011047791426, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x60310391f460
timestamp=18011047827554, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011047850868, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4bd0
timestamp=18011048535387, VA=000080010001b000-000080010001b008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103804ab0
timestamp=18011058361156, VA=000080010001d000-000080010001d008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031038273f0
timestamp=18011058477054, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011058494587, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4bd0
timestamp=18011058532639, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011058554370, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031038219f0
timestamp=18011059262564, VA=000080010001d000-000080010001d008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310373d270
timestamp=18011068504413, VA=000080010001e000-000080010001e008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103752e30
timestamp=18011068590505, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a58f0
timestamp=18011068611354, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031038219f0
timestamp=18011068821320, VA=00008001001f4000-00008001001f4008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310390f380
timestamp=18011068840225, VA=00008001001f5000-00008001001f5008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310375bb50
timestamp=18011068854031, VA=000080010001b000-000080010001b008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103804ab0
timestamp=18011068869771, VA=000080010001d000-000080010001d008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310373d270
timestamp=18011068889989, VA=00008001029c0000-00008001029c6910, binding_type=unbind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103618f50
timestamp=18011068894287, VA=00008001029c0000-00008001029c7000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373bce0
timestamp=18011068916709, VA=0000800103d00000-0000800103d04b00, binding_type=unbind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103378230
timestamp=18011068918092, VA=0000800103d00000-0000800103d05000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e9b0
timestamp=18011068938079, VA=0000800103d40000-0000800103d40330, binding_type=unbind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103562ad0
timestamp=18011068939933, VA=0000800103d40000-0000800103d41000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e240
timestamp=18011068978325, VA=0000800129e00000-0000800131e80000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103741bb0
timestamp=18011068980049, VA=0000800129e00000-0000800131e80000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x603103768a90
timestamp=18011069014503, VA=0000800132000000-0000800133000000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103744660
timestamp=18011069016207, VA=0000800132000000-0000800133000000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031037452e0
timestamp=18011069033339, VA=0000800128e00000-0000800129200000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103766880
timestamp=18011069034591, VA=0000800128e00000-0000800129200000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031037674b0
timestamp=18011069080478, VA=0000800129200000-0000800129600000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x6031037c8140
timestamp=18011069081890, VA=0000800129200000-0000800129600000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373b7d0
timestamp=18011069098922, VA=0000800129600000-0000800129a00000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310373d490
timestamp=18011069100295, VA=0000800129600000-0000800129a00000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310376aae0
timestamp=18011069127657, VA=0000800129a00000-0000800129e00000, binding_type=unbind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310373f010
timestamp=18011069130031, VA=0000800129a00000-0000800129e00000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373fb90
timestamp=18011069435857, VA=000080010001f000-000080010001f008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103856e40
timestamp=18011069452348, VA=0000800100020000-0000800100020008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103800090
timestamp=18011069465673, VA=0000800100021000-0000800100021008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037a90a0
timestamp=18011069485080, VA=0000800100022000-0000800100022008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103926060
timestamp=18011069497022, VA=0000800100023000-0000800100023008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103905270
timestamp=18011069508294, VA=0000800100024000-0000800100024008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x60310374aff0
timestamp=18011069519765, VA=0000800100025000-0000800100025008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037eaa80
timestamp=18011069531036, VA=0000800100026000-0000800100026008, binding_type=unbind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031037ef930
timestamp=18011069711707, VA=0000800000102000-0000800000106000, binding_type=unbind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036c5be0
timestamp=18011069744509, VA=00008000000fe000-0000800000102000, binding_type=unbind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036c0060
timestamp=18011069772161, VA=00008000000fa000-00008000000fe000, binding_type=unbind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031036ba4e0
