timestamp=17853489041085, VA=000080011cf50700-000080011cf80800, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98f850
timestamp=17853489062204, VA=0000800102240000-0000800102248000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc98f930
timestamp=17853489072003, VA=000080011cf80800-000080011cfb0900, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc991120
timestamp=17853489092822, VA=0000800102248000-0000800102250000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc991200
timestamp=17853489098863, VA=000080011cfb0900-000080011cfe0a00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc992ac0
timestamp=17853489119222, VA=0000800102250000-0000800102258000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc992ba0
timestamp=17853489131234, VA=000080011cfe0a00-000080011d010b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc994390
timestamp=17853489152685, VA=0000800102258000-0000800102260000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc994470
timestamp=17853489159908, VA=000080011d010b00-000080011d040c00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc995c60
timestamp=17853489179656, VA=0000800102260000-0000800102268000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcbd2d3b0
timestamp=17853489421892, VA=000080011d040c00-000080011d070d00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e4450
timestamp=17853489443943, VA=0000800102268000-0000800102270000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e44d0
timestamp=17853489450676, VA=000080011d070d00-000080011d0a0e00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e5cc0
timestamp=17853489471355, VA=0000800102270000-0000800102278000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e5da0
timestamp=17853489481725, VA=000080011d0a0e00-000080011d0d0f00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e7590
timestamp=17853489503966, VA=0000800102278000-0000800102280000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e7670
timestamp=17853489511521, VA=000080011d0d0f00-000080011d101000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e92f0
timestamp=17853489532881, VA=0000800102280000-0000800102288000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9e9860
timestamp=17853489543030, VA=000080011d101000-000080011d131100, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9eb050
timestamp=17853489564971, VA=0000800102288000-0000800102290000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9eb130
timestamp=17853489571043, VA=000080011d131100-000080011d161200, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9ecd70
timestamp=17853489593104, VA=0000800102290000-0000800102298000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9ece50
timestamp=17853489603223, VA=000080011d161200-000080011d191300, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9ee640
timestamp=17853489624614, VA=0000800102298000-00008001022a0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9ee720
timestamp=17853489631797, VA=000080011d191300-000080011d1c1400, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f0060
timestamp=17853489653278, VA=00008001022a0000-00008001022a8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f0140
timestamp=17853489662355, VA=000080011d1c1400-000080011d1f1500, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f1960
timestamp=17853489684567, VA=00008001022a8000-00008001022b0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f1a40
timestamp=17853489691620, VA=000080011d1f1500-000080011d221600, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f3230
timestamp=17853489712058, VA=00008001022b0000-00008001022b8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f3310
timestamp=17853489721576, VA=000080011d221600-000080011d251700, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f4f50
timestamp=17853489742466, VA=00008001022b8000-00008001022c0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f5030
timestamp=17853489748637, VA=000080011d251700-000080011d281800, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f6820
timestamp=17853489768475, VA=00008001022c0000-00008001022c8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcc9f6900
timestamp=17853489934738, VA=000080000003d000-0000800000041000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcbe6b7f0
timestamp=17853490250843, VA=0000800100017000-0000800100017020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcca0a830
timestamp=17853490268787, VA=0000800100018000-0000800100018020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcca0a8b0
timestamp=17853506107451, VA=000080011ee00000-000080012ee00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd611ea0
